estado,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,eof
0,s2,erroInicio,erro,erro,erroInicio,erro,erro,erro,erro,erroInicio,erroInicio,erro,erro,erro,erro,erroInicio,erro,erro,erro,erro,erro,erroInicio,erro,erroInicio,erro
1,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,acc
2,erro,s4,erro,erro,erro,erro,erro,erro,erroVarinicio,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erroFim
3,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,s17,erro,s10,erro
4,erro,erro,s20,erro,erro,erro,s22,s23,s24,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
5,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,r1
6,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,s17,erro,s10,erro
7,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,s17,erro,s10,erro
8,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,s17,erro,s10,erro
9,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,s17,erro,s10,erro
10,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,r38
11,erro,erro,erro,erroIdString,s29,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
12,erro,erro,erro,erroId,s33,erro,erro,erro,erro,erro,erro,s31,s32,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
13,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,s34,erro,erro,erro,erro,erro,erroSimboloAtribuicao,erro,erro,erro,erro,erro
14,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,s39,erro,erro,erro,erro
15,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,erro,s44,erro,erro
16,erro,erro,erro,erro,erroAB_P,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,s45,erro,erro,erro,erro,erro,erro,erro,erro
17,erro,erro,erro,erro,erroAB_P,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,s46,erro,erro,erro,erro,erro,erro,erro,erro
18,erro,erro,erro,erro,r2,erro,erro,erro,erro,r2,r2,erro,erro,erro,erro,r2,erro,erro,erro,erro,erro,r2,erro,r2,erro
19,erro,erro,s20,erro,erro,erro,s22,s23,s24,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
20,erro,erro,erro,s48,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
21,erro,erro,erro,erro,s50,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
22,erro,erro,erro,erro,r8,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
23,erro,erro,erro,erro,r9,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
24,erro,erro,erro,erro,r10,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
25,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,r11
26,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,r17
27,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,r23
28,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,r31
29,erro,erro,erro,s51,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erroPT_V,erro,erro,erro,erro,erro,erro,erro,erro,erro
30,erro,erro,erro,s52,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
31,erro,erro,erro,r14,erro,erro,erro,erro,erro,erroPT_V,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erroPT_V,erro,erro,erro,erro
32,erro,erro,erro,r15,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
33,erro,erro,erro,r16,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erroPT_V,erro
34,erro,erro,erro,erroAtribuicao,s55,erro,erro,erro,erro,erro,erro,erro,s56,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
35,erro,erro,erro,erro,r24,erro,erro,erro,erro,r24,r24,erro,erro,erro,erro,r24,erro,erro,erro,erro,r24,r24,r24,r24,erro
36,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,s39,erro,erro,erro,erro
37,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,s39,erroFimse,erro,erro,erro
38,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,s39,erro,erro,erro,erro
39,erro,erro,erro,erro,r30,erro,erro,erro,erro,r30,r30,erro,erro,erro,erro,r30,erro,erro,erro,erro,r30,r30,r30,r30,erroFim
40,erro,erro,erro,erro,r32,erro,erro,erro,erro,r32,r32,erro,erro,erro,erro,r32,erro,erro,erro,erro,erro,r32,erro,r32,erro
41,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,erro,s44,erroFimrepita,erro
42,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,erro,s44,erro,erro
43,erro,erro,erro,erro,s13,erro,erro,erro,erro,s11,s12,erro,erro,erro,erro,s16,erro,erro,erro,erro,erro,erro,s44,erro,erro
44,erro,erro,erro,erro,r37,erro,erro,erro,erro,r37,r37,erro,erro,erro,erro,r37,erro,erro,erro,erro,erro,r37,erro,r37,erroFim
45,erro,erro,erro,erro,s55,erro,erro,erro,erro,erro,erro,erro,s56,erro,erro,erro,erro,erroExpressao,erro,erroId,erro,erro,erro,erro,erro
46,erro,erro,erro,erro,s55,erro,erro,erro,erro,erro,erro,erro,s56,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
47,erro,erro,erro,erro,r3,erro,erro,erro,erro,r3,r3,erro,erro,erro,erro,r3,erro,erro,erro,erro,erro,r3,erro,r3,erro
48,erro,erro,erro,erro,r4,erro,erro,erro,erro,r4,r4,erroEscreva,erro,erro,erro,r4,erro,erro,erro,erro,erro,r4,erro,r4,erroFim
49,erro,erro,erro,s66,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
50,erro,erro,erroPT_V,r7,erroVir,s67,erroPT_V,erroPT_V,erroPT_V,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
51,erro,erro,erro,erro,r12,erro,erro,erro,erro,r12,r12,erro,erro,erro,erro,r12,erroSe,erro,erro,erro,r12,r12,r12,r12,erroFim
52,erro,erro,erro,erro,r13,erro,erro,erro,erro,r13,r13,erro,erro,erro,erro,r13,erro,erro,erro,erro,r13,r13,r13,r13,erroFim
53,erro,erro,erro,s68,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
